"DateKey","Date","FullDate","DayOfMonth","DaySuffix","DayName","DayOfWeek","DayOfWeekInMonth","DayOfWeekInYear","DayOfQuarter","DayOfYear","WeekOfMonth","WeekOfQuarter","WeekOfYear","Month","MonthName","MonthOfQuarter","Quarter","QuarterName","Year","YearName","MonthYear","MMYYYY","FirstDayOfMonth","LastDayOfMonth","FirstDayOfQuarter","LastDayOfQuarter","FirstDayOfYear","LastDayOfYear","IsHoliday","IsWeekday","HolidayName","FiscalDayOfYear","FiscalWeekOfYear","FiscalMonth","FiscalQuarter","FiscalQuarterName","FiscalYear","FiscalYearName","FiscalMonthYear","FiscalMMYYYY","FiscalFirstDayOfMonth","FiscalLastDayOfMonth","FiscalFirstDayOfQuarter","FiscalLastDayOfQuarter","FiscalFirstDayOfYear","FiscalLastDayOfYear"
20050118,"2005-01-18 00:00:00","01/18/2005","18","18th","Tuesday","3","3","3","3","18","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050119,"2005-01-19 00:00:00","01/19/2005","19","19th","Wednesday","4","3","3","3","19","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050120,"2005-01-20 00:00:00","01/20/2005","20","20th","Thursday","5","3","3","3","20","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050121,"2005-01-21 00:00:00","01/21/2005","21","21st","Friday","6","3","3","3","21","4","3","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050122,"2005-01-22 00:00:00","01/22/2005","22","22nd","Saturday","7","4","4","4","22","4","4","4","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050123,"2005-01-23 00:00:00","01/23/2005","23","23rd","Sunday","1","4","4","4","23","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050124,"2005-01-24 00:00:00","01/24/2005","24","24th","Monday","2","4","4","4","24","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050125,"2005-01-25 00:00:00","01/25/2005","25","25th","Tuesday","3","4","4","4","25","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050126,"2005-01-26 00:00:00","01/26/2005","26","26th","Wednesday","4","4","4","4","26","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050127,"2005-01-27 00:00:00","01/27/2005","27","27th","Thursday","5","4","4","4","27","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050128,"2005-01-28 00:00:00","01/28/2005","28","28th","Friday","6","4","4","4","28","5","4","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050129,"2005-01-29 00:00:00","01/29/2005","29","29th","Saturday","7","5","5","5","29","5","5","5","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050130,"2005-01-30 00:00:00","01/30/2005","30","30th","Sunday","1","5","5","5","30","6","5","6","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050131,"2005-01-31 00:00:00","01/31/2005","31","31st","Monday","2","5","5","5","31","6","5","6","1","January","1","1","First","2005","CY 2005","Jan-2005","012005","2005-01-01","2005-01-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050201,"2005-02-01 00:00:00","02/01/2005","1","1st","Tuesday","3","1","5","5","32","1","5","6","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050202,"2005-02-02 00:00:00","02/02/2005","2","2nd","Wednesday","4","1","5","5","33","1","5","6","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050203,"2005-02-03 00:00:00","02/03/2005","3","3rd","Thursday","5","1","5","5","34","1","5","6","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050204,"2005-02-04 00:00:00","02/04/2005","4","4th","Friday","6","1","5","5","35","1","5","6","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050205,"2005-02-05 00:00:00","02/05/2005","5","5th","Saturday","7","1","6","6","36","1","6","6","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050206,"2005-02-06 00:00:00","02/06/2005","6","6th","Sunday","1","1","6","6","37","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050207,"2005-02-07 00:00:00","02/07/2005","7","7th","Monday","2","1","6","6","38","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050208,"2005-02-08 00:00:00","02/08/2005","8","8th","Tuesday","3","2","6","6","39","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050209,"2005-02-09 00:00:00","02/09/2005","9","9th","Wednesday","4","2","6","6","40","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050210,"2005-02-10 00:00:00","02/10/2005","10","10th","Thursday","5","2","6","6","41","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050211,"2005-02-11 00:00:00","02/11/2005","11","11th","Friday","6","2","6","6","42","2","6","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050212,"2005-02-12 00:00:00","02/12/2005","12","12th","Saturday","7","2","7","7","43","2","7","7","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050213,"2005-02-13 00:00:00","02/13/2005","13","13th","Sunday","1","2","7","7","44","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050214,"2005-02-14 00:00:00","02/14/2005","14","14th","Monday","2","2","7","7","45","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",True,True,"Valentine's Day",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050215,"2005-02-15 00:00:00","02/15/2005","15","15th","Tuesday","3","3","7","7","46","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050216,"2005-02-16 00:00:00","02/16/2005","16","16th","Wednesday","4","3","7","7","47","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050217,"2005-02-17 00:00:00","02/17/2005","17","17th","Thursday","5","3","7","7","48","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050218,"2005-02-18 00:00:00","02/18/2005","18","18th","Friday","6","3","7","7","49","3","7","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050219,"2005-02-19 00:00:00","02/19/2005","19","19th","Saturday","7","3","8","8","50","3","8","8","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050220,"2005-02-20 00:00:00","02/20/2005","20","20th","Sunday","1","3","8","8","51","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050221,"2005-02-21 00:00:00","02/21/2005","21","21st","Monday","2","3","8","8","52","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050222,"2005-02-22 00:00:00","02/22/2005","22","22nd","Tuesday","3","4","8","8","53","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050223,"2005-02-23 00:00:00","02/23/2005","23","23rd","Wednesday","4","4","8","8","54","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050224,"2005-02-24 00:00:00","02/24/2005","24","24th","Thursday","5","4","8","8","55","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050225,"2005-02-25 00:00:00","02/25/2005","25","25th","Friday","6","4","8","8","56","4","8","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050226,"2005-02-26 00:00:00","02/26/2005","26","26th","Saturday","7","4","9","9","57","4","9","9","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050227,"2005-02-27 00:00:00","02/27/2005","27","27th","Sunday","1","4","9","9","58","5","9","10","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050228,"2005-02-28 00:00:00","02/28/2005","28","28th","Monday","2","4","9","9","59","5","9","10","2","February","2","1","First","2005","CY 2005","Feb-2005","022005","2005-02-01","2005-02-28","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050301,"2005-03-01 00:00:00","03/01/2005","1","1st","Tuesday","3","1","9","9","60","1","9","10","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050302,"2005-03-02 00:00:00","03/02/2005","2","2nd","Wednesday","4","1","9","9","61","1","9","10","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050303,"2005-03-03 00:00:00","03/03/2005","3","3rd","Thursday","5","1","9","9","62","1","9","10","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050304,"2005-03-04 00:00:00","03/04/2005","4","4th","Friday","6","1","9","9","63","1","9","10","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050305,"2005-03-05 00:00:00","03/05/2005","5","5th","Saturday","7","1","10","10","64","1","10","10","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050306,"2005-03-06 00:00:00","03/06/2005","6","6th","Sunday","1","1","10","10","65","2","10","11","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,False,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050307,"2005-03-07 00:00:00","03/07/2005","7","7th","Monday","2","1","10","10","66","2","10","11","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050308,"2005-03-08 00:00:00","03/08/2005","8","8th","Tuesday","3","2","10","10","67","2","10","11","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050309,"2005-03-09 00:00:00","03/09/2005","9","9th","Wednesday","4","2","10","10","68","2","10","11","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20050310,"2005-03-10 00:00:00","03/10/2005","10","10th","Thursday","5","2","10","10","69","2","10","11","3","March","3","1","First","2005","CY 2005","Mar-2005","032005","2005-03-01","2005-03-31","2005-01-01","2005-03-31","2005-01-01","2005-12-31",False,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
